Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-03-07,,464.3073071875,,,,,,,,,,,,,,,,,,
2019-03-08,,1634.5,,,,,,,,,,,,,,,,,,
2019-03-09,24,1691.253813016482,358.85875177383423,,,45.5897387,5.2405704,45.5904054,5.2520445,1.1313893328906868,12.350000381469727,0.26694250106811523,1378,75.0,75.0,75.0,,23552308,941952,
2019-03-10,17,1736.0728508295788,508.76661586761475,13.0,13,45.5965071,5.228516,45.5971421,5.2287324,0.9832045451898489,12.630000114440918,0.07806913554668427,522,,,,843922,84454758,783602,
2019-03-11,22,1750.4164764747075,1040.7347644276233,2.0,2,,,,,0.908951605269816,8.350000381469727,0.2788364589214325,1789,,,,,73125819,1923963,
2019-03-12,56,1836.8056487396127,2429.589074402371,3.0,3,48.8353491,2.2561255,48.8850962,2.3641593,1.186423495814104,4.53616189956665,0.2107553482055664,4466,,,,,82703801,3331543,
2019-03-13,106,2039.963001859817,5248.646213008744,24.0,24,48.8350567,2.2383147,48.8916861,2.3642516,1.2178768453924484,2.9800000190734863,0.30035170912742615,8422,,,,,74111478,6729805,
2019-03-14,93,1906.9255936819723,2633.895603225845,3.0,3,,,,,0.8717996804710065,1.6806424856185913,0.3270370662212372,5522,,,,,69122202,4521676,
2019-03-15,146,2170.0302606669034,8420.078479886055,44.0,44,-8.7430346,115.1282642,-8.6401014,115.1690873,1.0925162614058055,29.0,0.055407799780368805,10142,,,,1124615,69724419,7670809,
2019-03-16,77,1898.965213709626,6401.770608305931,18.0,18,-8.6540897,115.1176054,-8.6431135,115.1288533,1.8907691853524267,31.0,0.020419789478182793,4392,,,,1228123,78245499,3068573,
2019-03-17,87,2058.9896161678485,3378.0660350322723,5.0,5,-8.6550776,115.0859266,-8.6166117,115.1252152,0.9160988491421638,18.0,0.08042973279953003,6704,,,,,77119048,7045607,
2019-03-18,112,2106.2134968450914,11420.499975919724,51.0,51,-8.656237,115.1192384,-8.6348514,115.1551538,1.7520581004055293,41.0,0.03506658971309662,4951,,,,3149152,76413474,4462481,
2019-03-19,69,1918.7138334380902,10496.866749048233,47.0,47,-8.6535866,115.1268623,-8.6326127,115.1357036,1.1138199697168132,12.300000190734863,0.32554489374160767,1942,,,,3088821,81138185,1414898,
2019-03-20,151,2333.4162369635,8087.792206287384,41.0,41,-8.6391069,115.1310566,-8.5139669,115.2641401,1.1673359825229352,25.0,0.10191787034273148,12594,,,,,69644717,11600492,
2019-03-21,106,2097.326341774326,5921.638335347176,27.0,27,-8.5182382,115.2539691,-8.4951472,115.2639474,0.9470623799523001,6.329999923706055,0.13567450642585754,9292,,,,,77584205,7681914,
2019-03-22,47,1841.4147660427604,2034.9040892720222,9.0,9,-8.518275,115.2614095,-8.5157869,115.2653652,1.3338831576262478,12.729999542236328,0.19126571714878082,3816,,,,,78367539,3434337,
